TIME	RATE	ERROR
47455.18511	216.54654	4.93825
47455.1853	227.28842	5.05996
47455.18548	206.52058	4.92719
47455.18585	216.06502	4.96842
47455.18604	216.68893	4.97874
47455.18622	215.47139	5.02405
47455.18641	226.54285	4.99503
47455.1866	228.01285	5.04023
47455.18678	216.23553	4.9608
47455.18697	221.41042	5.03448
47455.18715	219.01198	5.03279
47455.18734	229.6001	5.07223
47455.18752	225.46478	5.0247
47455.18771	217.12883	5.01509
47455.18789	224.89423	5.05462
47455.18808	224.05226	5.04543
47455.18826	213.7565	5.03532
47455.18845	217.20306	5.03067
47455.24196	225.91418	5.04052
47455.24215	231.36115	5.07499
47455.24233	232.32143	5.08119
47455.24252	235.49559	5.11195
47455.2427	240.76625	5.14941
47455.24289	218.93684	5.01365
47455.24307	233.54088	5.04896
47455.24326	231.86792	5.07089
47455.24344	229.7362	5.01817
47455.24363	236.0606	5.12336
47455.24381	227.17345	4.99509
47455.244	220.87703	4.98052
47455.24418	247.46904	5.15426
47455.24437	229.1617	5.00712
47455.24455	223.91574	4.99403
47455.24474	236.21616	5.05347
47455.24492	221.27124	4.99244
47455.24511	227.01474	5.04709
47455.24529	231.47943	5.04755
47455.24548	235.10066	5.06349
47455.24566	225.82814	4.98446
47455.24585	229.76036	5.06834
47455.24603	228.41211	5.05304
47455.24622	236.26447	5.06358
47455.24641	218.48561	4.98387
47455.24659	227.81313	4.95641
47455.24678	229.7956	5.04073
47455.24696	232.48883	5.02341
47455.24715	224.92467	4.96688
47455.24733	226.46992	5.00382
47455.24752	236.34518	5.05383
47455.2477	226.5304	4.99945
47455.24789	231.20488	5.03053
47455.24807	236.486	5.07118
47455.24826	246.99675	5.08573
47455.24844	226.65366	4.9974
47455.24863	211.01361	4.95815
47455.24881	228.54941	4.99169
47455.249	223.58946	4.9874
47455.24937	227.98438	5.0557
47455.24955	236.68286	5.03986
47455.24974	238.32425	5.07772
47455.24992	233.77673	5.07562
47455.25011	226.72453	5.03145
47455.25029	222.65015	5.00008
47455.25048	237.83759	5.10415
47455.25066	224.38518	5.02464
47455.25085	243.59685	5.08591
47455.25103	223.21034	4.98742
47455.25122	227.09361	5.02335
47455.2514	237.64064	5.09193
47455.25159	228.11143	5.0796
47455.25178	233.02621	5.04636
47455.25196	240.35431	5.11367
47455.25215	235.72633	5.05301
47455.25233	236.17801	5.09017
47455.25252	235.81746	5.14724
47455.2527	252.50279	5.20628
47455.25289	238.25447	5.1042
47455.25307	235.88942	5.05576
47455.25326	231.35812	5.0408
47455.25344	244.18445	5.10921
47455.25363	242.07155	5.11497
47455.25381	242.15181	5.13437
47455.254	229.0763	5.09148
47455.25418	227.8862	5.03116
47455.25437	237.97423	5.12115
47455.25455	246.02817	5.22282
47455.25474	237.44939	5.13351
47455.25492	235.35492	5.09666
47455.25511	250.49583	5.23099
47455.25529	242.09258	5.12143
47455.25548	237.46126	5.15776
47455.30973	193.62416	4.82496
47455.30992	205.16277	4.90088
47455.3101	190.07767	4.80167
47455.31029	197.9986	4.85493
47455.31047	204.98564	4.90187
47455.31066	193.93271	4.8343
47455.31084	197.50908	4.87705
47455.31103	191.18599	4.81177
47455.31122	194.95984	4.82692
47455.3114	196.9632	4.79927
47455.31159	188.61917	4.76456
47455.31177	193.25533	4.82544
47455.31196	203.7823	4.81505
47455.31214	204.06706	4.85941
47455.31233	192.20264	4.78882
47455.31251	200.76764	4.81836
47455.3127	206.16422	4.85441
47455.31288	205.97058	4.84404
47455.31307	204.36977	4.84525
47455.31325	200.8114	4.77158
47455.31344	194.65073	4.83949
47455.31362	194.81483	4.77181
47455.31381	185.55006	4.72373
47455.31399	184.73128	4.66901
47455.31418	188.19064	4.72796
47455.31436	195.5372	4.75583
47455.31455	184.99902	4.71214
