TIME	RATE	ERROR
51498.50627	2.7	0.51962
51498.50638	1.8	0.42426
51498.5065	2.5	0.5
51498.50661	2.7	0.51962
51498.50673	2.3	0.47958
51498.50684	3.3	0.57446
51498.50696	2.2	0.46904
51498.50708	2.1	0.45826
51498.50719	2.2	0.46904
51498.50731	1.8	0.42426
51498.50742	2.1	0.45826
51498.50754	1.8	0.42426
51498.50766	2.1	0.45826
51498.50777	1.9	0.43589
51498.50789	2.1	0.45826
51498.508	2.8	0.52915
51498.50812	2.2	0.46904
51498.50823	2.0	0.44721
51498.50835	3.1	0.55678
51498.50847	2.6	0.5099
51498.50858	2.7	0.51962
51498.5087	2.3	0.47958
51498.50881	2.1	0.45826
51498.50893	2.4	0.4899
51498.50904	2.2	0.46904
51498.50916	2.7	0.51962
51498.50928	2.1	0.45826
51498.50939	2.1	0.45826
51498.50951	2.1	0.45826
51498.50962	2.7	0.51962
51498.50974	2.1	0.45826
51498.50985	2.4	0.4899
51498.50997	1.5	0.3873
51498.51009	2.7	0.51962
51498.5102	2.3	0.47958
51498.51032	2.3	0.47958
51498.51043	1.8	0.42426
51498.51055	2.7	0.51962
51498.51066	2.6	0.5099
51498.51078	2.2	0.46904
51498.5109	2.4	0.4899
51498.51101	2.7	0.51962
51498.51113	2.3	0.47958
51498.51124	2.6	0.5099
51498.51136	2.4	0.4899
51498.51147	2.2	0.46904
51498.51159	2.0	0.44721
51498.51171	2.1	0.45826
51498.51182	1.9	0.43589
51498.51194	3.1	0.55678
51498.51205	2.5	0.5
51498.51217	2.1	0.45826
51498.51228	2.3	0.47958
51498.5124	1.6	0.4
51498.51252	2.3	0.47958
51498.51263	2.8	0.52915
51498.51275	2.8	0.52915
51498.51286	1.2	0.34641
51498.51298	2.9	0.53852
51498.51309	2.5	0.5
51498.51321	1.8	0.42426
51498.51333	1.7	0.41231
51498.51344	2.6	0.5099
51498.51356	1.0	0.31623
51498.51367	1.7	0.41231
51498.51379	2.0	0.44721
51498.5139	2.0	0.44721
51498.51402	2.4	0.4899
51498.51414	2.9	0.53852
51498.51425	2.3	0.47958
51498.51437	1.6	0.4
51498.51448	2.1	0.45826
51498.5146	2.1	0.45826
51498.51471	1.7	0.41231
51498.51483	2.3	0.47958
51498.51495	2.0	0.44721
51498.51506	2.0	0.44721
51498.51518	2.2	0.46904
51498.51529	3.4	0.5831
51498.51541	2.6	0.5099
51498.51552	2.0	0.44721
51498.51564	2.6	0.5099
51498.51576	1.8	0.42426
51498.51587	3.0	0.54772
51498.51599	2.8	0.52915
51498.5161	2.8	0.52915
51498.51622	2.1	0.45826
51498.51633	2.5	0.5
51498.51645	2.1	0.45826
51498.51657	1.7	0.41231
51498.51668	2.0	0.44721
51498.5168	1.7	0.41231
51498.51691	1.5	0.3873
51498.51703	2.1	0.45826
51498.51714	1.7	0.41231
51498.51726	1.6	0.4
