TIME	RATE	ERROR
51498.08736	7.0	2.64575
51498.08737	5.0	2.23607
51498.08738	4.0	2.0
51498.08739	8.0	2.82843
51498.0874	9.0	3.0
51498.08742	2.0	1.41421
51498.08743	5.0	2.23607
51498.08744	5.0	2.23607
51498.08745	10.0	3.16228
51498.08746	5.0	2.23607
51498.08747	1.0	1.0
51498.08748	5.0	2.23607
51498.0875	2.0	1.41421
51498.08751	6.0	2.44949
51498.08752	8.0	2.82843
51498.08753	2.0	1.41421
51498.08754	6.0	2.44949
51498.08755	6.0	2.44949
51498.08757	7.0	2.64575
51498.08758	3.0	1.73205
51498.08759	3.0	1.73205
51498.0876	8.0	2.82843
51498.08761	7.0	2.64575
51498.08762	4.0	2.0
51498.08764	7.0	2.64575
51498.08765	4.0	2.0
51498.08766	5.0	2.23607
51498.08767	9.0	3.0
51498.08768	4.0	2.0
51498.08769	3.0	1.73205
51498.0877	3.0	1.73205
51498.08772	3.0	1.73205
51498.08773	4.0	2.0
51498.08774	4.0	2.0
51498.08775	5.0	2.23607
51498.08776	4.0	2.0
51498.08777	1.0	1.0
51498.08779	6.0	2.44949
51498.0878	5.0	2.23607
51498.08781	1.0	1.0
51498.08782	3.0	1.73205
51498.08783	5.0	2.23607
51498.08784	4.0	2.0
51498.08786	2.0	1.41421
51498.08787	6.0	2.44949
51498.08788	2.0	1.41421
51498.08789	4.0	2.0
51498.0879	4.0	2.0
51498.08791	3.0	1.73205
51498.08792	1.0	1.0
51498.08794	5.0	2.23607
51498.08795	4.0	2.0
51498.08796	1.0	1.0
51498.08797	2.0	1.41421
51498.08798	3.0	1.73205
51498.08799	3.0	1.73205
51498.08801	7.0	2.64575
51498.08802	3.0	1.73205
51498.08803	6.0	2.44949
51498.08804	2.0	1.41421
51498.08805	5.0	2.23607
51498.08806	4.0	2.0
51498.08808	5.0	2.23607
51498.08809	5.0	2.23607
51498.08811	3.0	1.73205
51498.08812	7.0	2.64575
51498.08813	6.0	2.44949
51498.08814	8.0	2.82843
51498.08816	5.0	2.23607
51498.08817	2.0	1.41421
51498.08818	3.0	1.73205
51498.08819	6.0	2.44949
51498.08821	5.0	2.23607
51498.08823	1.0	1.0
