Time	CountRate	Error
43470.22465	6.03934	4.5253
43470.22471	4.5636	3.58972
43470.22471	8.23186	3.45141
43470.22476	8.07376	5.24938
43470.29907	9.37824	6.25797
43470.29907	17.08183	7.90662
43470.29913	-5.64	6.89477
43470.42291	1.39445	5.89632
43470.42297	10.95618	4.34895
43470.42297	7.84855	4.70715
43470.42303	12.58177	6.41654
43470.42303	22.28608	6.45027
43470.42309	7.05374	8.31015
43470.49561	14.14819	6.54874
43470.49561	5.54073	5.60207
43470.49567	6.41427	5.65831
43470.49567	2.85796	4.6341
43470.49573	15.88698	8.85483
43470.61957	24.28038	7.70018
43470.61957	19.30708	6.38166
43470.61963	-7.8478	6.45066
43645.26757	14.15886	7.0456
43645.26757	13.40504	7.89728
43645.26763	0.90878	7.14952
43645.65113	4.97622	6.6833
43645.65119	2.08328	4.69635
43645.65119	5.01909	4.12091
43645.65125	-3.18511	4.82831
43645.65125	-7.22761	4.65918
43645.84943	-3.90629	5.23892
43645.84949	6.4946	3.80295
43645.84949	6.91764	4.4071
43645.84955	-1.68892	4.1394
43645.84955	8.56514	5.04596
43645.84961	4.30113	7.21769
43646.1713	-1.48875	3.90713
43646.17135	3.30546	2.71394
43646.17135	1.69048	2.83678
43646.17141	5.25771	3.07868
43646.17141	-1.49154	2.66102
43646.17147	11.14425	5.10019
43646.24532	2.87559	6.48245
43646.24538	2.1074	4.75073
43646.24538	6.65237	4.29233
43646.24544	12.41699	6.38168
43646.24544	3.92971	5.83903
43646.34494	2.74814	6.19516
43646.345	-1.43789	3.52414
43646.345	8.91505	4.58187
43646.34506	-0.72502	3.50558
43646.34506	-1.14624	2.80933
43646.34512	8.38962	5.82883
43646.81301	1.43611	4.99684
43646.81307	3.50112	4.06308
43646.81307	12.44983	3.92862
43646.81313	5.23988	2.4325
43646.81313	7.09868	2.93798
43646.81319	7.07718	5.10363
43646.81319	5.20576	3.61679
43646.81325	2.49382	5.62184
43646.93717	14.7996	4.99641
43646.93723	13.77309	4.16746
43646.93723	11.04175	3.27635
43646.93729	7.64262	2.3125
43646.93729	6.94296	2.5258
43646.93735	3.57647	4.15053
43646.93735	10.22233	3.45111
43646.93741	2.82126	4.73432
43647.13612	-8.46465	3.77904
43647.13618	10.09227	5.02202
43647.13618	-1.00323	2.63292
