TIME	RATE	ERROR
43470.49561	-6.26542	6.23877
43470.49567	3.41704	6.1812
43470.49567	3.65481	5.77055
43470.49573	-2.47387	8.58172
43470.54533	6.00419	7.39088
43470.54539	5.79261	5.3164
43470.54539	13.16586	5.2389
43470.54545	4.79335	3.88382
43470.54545	6.06585	4.26165
43470.54551	9.67612	6.28446
43470.5698	-2.9253	6.66578
43470.56986	5.09942	4.68019
43470.56986	8.8553	5.35311
43470.56992	-8.82835	6.1102
43470.56992	24.8256	7.34863
43470.61957	5.32057	6.74017
43470.61957	7.0791	7.54108
43470.61963	11.85437	9.08264
43645.26757	-4.3541	7.75013
43645.26763	11.95912	8.85204
43645.65113	-6.12212	6.9246
43645.65119	11.54259	5.99082
43645.65119	-10.23817	3.67621
43645.65125	7.99447	6.49833
43645.65125	7.73413	6.8728
43645.84943	-5.41839	6.12863
43645.84949	-1.10801	4.35942
43645.84949	1.40136	4.18101
43645.84955	0.84424	5.17594
43645.84955	2.32848	5.0663
43645.84961	3.63462	7.90818
43646.1713	11.11546	5.45762
43646.17135	6.49402	3.56477
43646.17135	5.07832	3.45511
43646.17141	4.2374	3.33327
43646.17141	1.91894	3.23062
43646.17147	11.12119	5.46043
43646.24532	-7.1492	6.80061
43646.24538	4.1955	5.10326
43646.24538	-4.37402	4.94736
43646.24544	12.70092	7.52099
43646.24544	13.51054	7.01223
43646.34494	5.38354	7.4168
43646.345	-0.47277	4.48593
43646.345	5.96139	5.29749
43646.34506	8.88957	4.61386
43646.34506	-2.65652	3.37161
43646.34512	7.74554	6.29598
43646.37048	-0.80559	7.64395
43646.37054	7.60067	6.17823
43646.37054	-3.61654	4.59004
43646.3706	-4.82474	6.69144
43646.81301	2.74186	5.96571
43646.81307	7.43291	5.25791
43646.81307	2.67959	3.69163
43646.81313	2.51985	2.58262
43646.81313	5.62265	3.09771
43646.81319	17.66528	6.07832
43646.81319	4.78459	3.88917
43646.81325	-3.22361	5.73791
43646.88757	-2.53972	6.25166
43646.88763	9.23599	4.79366
43646.88763	4.03054	4.9026
43646.88769	3.31036	3.87031
43646.88769	-1.21082	3.12478
43646.88774	12.92845	6.02703
43646.93717	6.87031	5.08534
43646.93723	1.252	3.73538
43646.93723	10.50083	3.54636
43646.93729	-0.0284	1.9705
43646.93729	3.70847	2.52311
43646.93735	-1.18015	2.90501
43646.93735	1.38022	4.11792
43646.93741	8.82583	5.56237
43647.13612	1.78301	5.52703
43647.13618	0.58233	3.18476
43647.13618	2.59936	5.17647
43647.13624	1.05811	2.10717
43647.13624	-1.56771	2.17426
43647.1363	2.19908	3.31004
43647.1363	2.50198	2.92519
43647.13636	5.20718	4.70208
43647.21085	5.18627	6.06353
43647.21091	2.77849	3.24847
43647.21091	-1.27913	6.46702
43647.21097	1.60251	2.20775
43647.21097	9.58831	2.63371
43647.21103	2.51699	2.57969
43647.21103	2.09244	2.44638
43647.21109	5.28446	3.91151
43647.21115	9.1932	8.30145
43647.30977	8.52442	5.79971
43647.30983	6.06581	3.14827
43647.30983	22.82036	7.8521
43647.30989	5.47265	2.22351
43647.30989	7.92246	2.30385
43647.30994	7.1554	2.49875
43647.30994	4.87063	2.49534
43647.31	6.9577	3.61118
43647.31006	3.26572	7.10553
43647.33519	14.10988	6.26566
43647.33525	3.01061	4.53155
43647.33525	9.51468	3.86577
43647.33531	4.70243	2.58131
43647.33531	4.11156	2.79736
43647.33537	7.02663	4.97052
43647.33537	7.78057	3.82021
43647.33543	5.83853	5.94265
43647.45994	7.41536	4.67344
43647.46	5.79891	3.00974
43647.46	4.4791	3.5234
43647.46006	4.90778	2.22647
43647.46006	4.96356	2.43707
43647.46012	6.20793	3.22204
43647.46012	9.8297	4.72726
43647.46018	0.86156	4.71183
43647.50842	13.5628	7.03935
43647.50848	9.27376	3.76788
43647.50854	4.0782	2.39643
43647.50854	5.0277	2.4179
43647.5086	6.6348	2.58786
43647.5086	6.00538	2.58099
43647.50866	4.29721	3.493
43647.50872	-7.03381	5.75266
43647.53402	7.39394	6.01019
43647.53408	-2.40181	6.19839
43647.53408	6.17645	3.40282
43647.53414	4.56418	2.3689
43647.53414	7.09655	2.4418
43647.5342	5.2679	2.69888
43647.5342	5.60654	2.61367
43647.53426	6.09539	3.84154
43647.53432	-4.87935	6.76718
43648.29723	4.36055	3.54448
43648.29729	2.69707	2.76426
43648.29729	5.74345	2.33354
43648.29735	1.87318	1.4735
43648.29735	2.68616	1.69292
43648.29741	6.58583	3.16723
43648.29741	4.62636	2.27151
43648.29747	-4.57044	2.89357
43648.34565	7.44363	6.72159
43648.34571	3.81007	3.09703
43648.34577	3.26639	2.0586
43648.34577	6.12458	2.38788
43648.34583	5.16216	2.01346
43648.34583	2.71925	1.75124
43648.34589	-1.96601	5.07372
43648.34589	5.07407	2.79548
43648.34595	3.52253	4.85293
43648.37114	5.65094	4.59338
43648.37119	-1.70911	4.41072
43648.37119	3.42412	2.53451
43648.37125	5.40075	1.85831
43648.37125	6.72402	2.01369
43648.37131	4.15861	2.13056
43648.37131	2.58284	1.9118
43648.37137	2.77091	2.82032
43648.37143	1.01402	5.54566
43648.42127	-7.52994	5.38352
43648.42133	9.2751	3.48029
43648.42139	5.28128	2.24038
43648.42139	4.17008	2.28909
43648.42145	2.31053	1.87812
43648.42145	5.29305	1.97452
43648.42151	4.74667	2.78924
43648.42151	5.12629	5.254
43648.42157	5.96511	4.84876
43648.80223	0.91301	4.9932
43648.80228	0.8222	5.04084
43648.80228	4.16767	3.08487
43648.80234	9.581	2.49719
43648.80234	4.98998	2.32625
43648.8024	7.47982	3.05682
43648.8024	6.39985	2.71488
43648.80246	11.96993	4.32917
43648.80252	12.55759	8.54374
43648.87708	4.90332	3.98568
43648.87714	1.58538	3.15719
43648.87714	2.52877	2.28348
43648.87719	2.3251	1.72102
43648.87719	4.38744	1.7106
43648.87725	0.8546	2.54974
43648.87725	7.49403	2.45123
43648.87731	-0.80575	3.17021
43649.00118	-0.76997	7.30597
43649.00124	-6.96832	2.71424
43649.00129	-0.52171	2.05264
43649.00129	2.87852	2.55795
43649.00135	7.00842	2.22325
43649.00135	3.36173	1.84536
43649.00141	-2.92417	3.7113
43649.00141	2.58011	2.62612
43649.00147	6.23701	4.61658
43649.07543	2.88522	3.97492
43649.07549	1.7007	2.34303
43649.07549	2.72823	3.31852
43649.07555	6.84788	2.10945
43649.07555	6.52494	1.95615
43649.07561	5.01824	2.46392
43649.07561	-0.03902	2.70749
43649.07567	2.67381	3.68367
43649.20001	8.78634	4.8407
43649.20007	1.26272	2.74741
43649.20007	7.59041	3.65035
43649.20013	-0.23019	2.18419
43649.20013	3.10711	2.19792
43649.20019	8.0067	3.55547
43649.20019	-2.67122	4.57397
43649.20025	0.96498	5.27741
43649.27433	-12.08665	4.70789
43649.27439	4.35421	3.22295
43649.27444	0.65191	1.94498
43649.27444	0.65133	2.01902
43649.2745	0.36769	2.0109
43649.2745	3.06393	2.16737
43649.27456	6.98293	3.42857
43649.27462	-1.44535	5.6867
43649.32476	9.753	5.73106
43649.32482	10.5047	4.51471
43649.32482	2.41857	3.33202
43649.32488	1.97704	2.4048
43649.32488	7.52144	3.05592
43649.32494	7.62457	3.9573
43649.32494	9.20618	5.9289
43649.325	-0.60107	5.70334
43649.3733	2.57892	7.99423
43649.37336	-1.45354	3.57797
43649.37342	8.47082	2.95811
43649.37342	2.99811	2.66422
43649.37348	7.69378	2.78261
43649.37348	4.17397	2.47166
43649.37353	5.03366	3.72588
43649.37359	-4.48355	6.21824
43649.39872	3.49238	4.81139
43649.39878	-0.84782	4.28639
43649.39878	4.1735	2.8395
43649.39884	8.35246	2.23367
43649.39884	0.59763	1.85255
43649.3989	6.78432	2.91577
43649.3989	2.85088	2.31735
43649.39896	1.10258	3.41784
43649.39902	6.05198	8.3377
43649.77049	0.19436	4.83075
43649.77055	9.04743	3.83802
43649.77055	3.29144	3.37344
43649.77061	-2.8965	2.89695
43649.77061	6.77652	3.73343
43649.77067	12.26152	5.71612
43649.8457	-3.35555	8.25986
43649.84575	9.10041	7.15866
43649.84575	-5.07289	4.82554
43649.84581	9.70188	4.40137
43649.84581	4.37409	4.4521
43649.84587	12.38184	6.42641
43649.96932	6.06782	4.93225
43649.96938	-2.4654	2.78857
43649.96938	1.03633	3.09193
43649.96944	-1.8967	2.63053
43649.96944	0.42302	2.5935
43649.9695	11.35813	4.81824
43649.96956	-8.6312	7.0591
43650.04316	4.6384	4.72112
43650.04322	5.6951	3.13763
43650.04322	3.40083	3.48555
43650.04328	5.02576	2.60847
43650.04328	4.26982	2.34384
43650.04334	3.45031	5.19339
43650.04334	-2.13815	2.96541
43650.0434	5.73241	5.83464
