TIME	RATE	ERROR
45881.12807	0.49147	0.49147
45881.12812	1.2629	0.89301
45881.12821	-0.1268	0.1268
45881.12835	0.46077	0.46077
45881.12844	0.58753	0.58753
45881.12849	0.51685	0.51685
45881.12854	-0.12657	0.12657
45881.12858	-0.14581	0.14581
45881.12877	0.35928	0.35928
45881.12891	0.71564	0.71564
45881.129	0.60962	0.60962
45881.12905	1.07183	0.85876
45881.12946	0.63171	0.63171
45881.12951	1.28206	0.90655
45881.1296	0.40018	0.40018
45881.12969	0.73041	0.73041
45881.13002	0.65713	0.65713
45881.13007	1.30167	0.92042
45881.13011	0.55876	0.72772
45881.1315	-0.15688	0.15688
45881.13178	0.69232	0.69232
45881.13182	0.71915	0.71915
45881.13196	1.33203	0.94189
45881.13201	-0.1485	0.1485
45881.13266	0.72802	0.72802
45881.13326	0.67815	0.67815
45881.13335	1.17083	0.8279
45881.13414	0.72374	0.72374
45881.13428	0.50452	0.65709
45881.13451	0.64281	0.64281
45881.13507	0.60161	0.60161
45881.13553	1.43079	1.01172
45881.13557	-0.13093	0.13093
45881.1365	0.65216	0.65216
45881.13659	0.55622	0.55622
45881.13673	0.50907	0.50907
45881.14071	0.73132	0.73132
45881.14141	1.30593	0.92343
45881.14192	0.73098	0.73098
45881.14238	0.71352	0.71352
45881.14294	2.19586	1.26778
45881.14321	0.60064	0.60064
45881.14372	0.70121	0.70121
45881.15942	0.60745	0.60745
45881.15956	2.06935	1.19474
45881.1596	-0.29447	0.20822
45881.1597	0.72746	0.72746
45881.15979	0.62343	0.62343
45881.15988	1.0928	0.77272
45881.15997	0.4615	0.4615
45881.16016	0.67234	0.67234
45881.1603	0.38045	0.38045
45881.16035	0.32127	0.32127
45881.16039	0.2154	0.39451
45881.16048	0.57908	0.57908
45881.16058	0.50268	0.50268
45881.16062	0.65253	0.65253
45881.16076	0.58155	0.58155
45881.16085	-0.09221	0.09221
45881.16113	0.52515	0.52515
45881.16122	0.55647	0.55647
45881.16136	1.37893	0.97505
45881.1622	0.7039	0.7039
45881.16243	0.6909	0.6909
45881.16312	1.35056	0.95499
45881.16548	0.73008	0.73008
45881.1691	1.43175	1.0124
45881.16914	2.80625	1.40312
45881.16933	0.51801	0.51801
45881.16937	0.75315	0.53256
45881.16942	0.51675	0.51675
45881.16956	-0.10552	0.10552
45881.16965	0.44846	0.58407
45881.16979	0.41814	0.54459
45881.16984	0.46594	0.46594
45881.16988	0.47844	0.47844
45881.16998	0.51735	0.51735
45881.17007	0.51054	0.51054
45881.17025	0.3218	0.3218
45881.1703	0.34502	0.34502
45881.17048	0.31262	0.31262
45881.17053	0.32593	0.32593
45881.17058	0.30564	0.30564
45881.17067	0.30849	0.30849
45881.17081	0.30979	0.30979
45881.17099	0.30677	0.30677
45881.17113	0.54188	0.43416
45881.17127	0.31227	0.31227
45881.17132	0.60958	0.43104
45881.17136	0.30144	0.30144
45881.17146	0.31002	0.31002
45881.1715	0.17181	0.31467
45881.1716	0.30095	0.30095
45881.17164	0.64988	0.45954
45881.17169	0.30013	0.30013
45881.17173	0.61967	0.43817
45881.17178	0.61047	0.43167
45881.17187	0.3042	0.3042
45881.17192	0.30161	0.30161
45881.17197	0.32965	0.32965
45881.17206	0.24359	0.31725
45881.17211	0.61071	0.43183
45881.17224	0.90109	0.52025
45881.17229	0.60302	0.4264
45881.17234	0.31506	0.31506
45881.17248	-0.06761	0.06761
45881.17252	0.30174	0.30174
45881.17271	0.30225	0.30225
45881.17275	0.31061	0.31061
45881.17285	0.31786	0.31786
45881.17298	0.30739	0.30739
45881.17312	0.32705	0.32705
45881.17331	0.38364	0.38364
