Time	Count	Error
120879973.00807	36.0	6.0
120879974.00807	35.0	5.91608
120879975.00807	32.0	5.65685
120879976.00807	43.0	6.55744
120879977.00807	35.0	5.91608
120879978.00807	31.0	5.56776
120879979.00807	34.0	5.83095
120879980.00807	40.0	6.32456
120879981.00807	37.0	6.08276
120879982.00807	33.0	5.74456
120879983.00807	32.0	5.65685
120879984.00807	62.0	7.87401
120879985.00807	36.0	6.0
120879986.00807	35.0	5.91608
120879987.00807	33.0	5.74456
120879988.00807	30.0	5.47723
120879989.00807	34.0	5.83095
120879990.00807	34.0	5.83095
120879991.00807	37.0	6.08276
120879992.00807	25.0	5.0
120879993.00807	28.0	5.2915
120879994.00807	30.0	5.47723
120879995.00807	37.0	6.08276
120879996.00807	30.0	5.47723
120879997.00807	22.0	4.69042
120879998.00807	35.0	5.91608
120879999.00807	32.0	5.65685
120880000.00807	39.0	6.245
120880001.00807	33.0	5.74456
120880002.00807	44.0	6.63325
120880003.00807	35.0	5.91608
120880004.00807	27.0	5.19615
120880005.00807	28.0	5.2915
120880006.00807	37.0	6.08276
120880007.00807	31.0	5.56776
120880008.00807	28.0	5.2915
120880009.00807	27.0	5.19615
120880010.00807	45.0	6.7082
120880011.00807	40.0	6.32456
120880012.00807	34.0	5.83095
120880013.00807	27.0	5.19615
120880014.00807	25.0	5.0
120880015.00807	28.0	5.2915
120880016.00807	33.0	5.74456
120880017.00807	29.0	5.38516
120880018.00807	26.0	5.09902
120880019.00807	28.0	5.2915
120880020.00807	37.0	6.08276
120880021.00807	36.0	6.0
120880022.00807	52.0	7.2111
120880023.00807	26.0	5.09902
120880024.00807	38.0	6.16441
120880025.00807	34.0	5.83095
120880026.00807	37.0	6.08276
120880027.00807	33.0	5.74456
120880028.00807	39.0	6.245
120880029.00807	35.0	5.91608
120880030.00807	39.0	6.245
120880031.00807	29.0	5.38516
120880032.00807	31.0	5.56776
120880033.00807	38.0	6.16441
120880034.00807	21.0	4.58258
120880035.00807	30.0	5.47723
120880036.00807	40.0	6.32456
120880037.00807	25.0	5.0
120880038.00807	35.0	5.91608
120880039.00807	34.0	5.83095
120880040.00807	37.0	6.08276
120880041.00807	34.0	5.83095
120880042.00807	38.0	6.16441
120880043.00807	26.0	5.09902
120880044.00807	32.0	5.65685
120880045.00807	40.0	6.32456
120880046.00807	43.0	6.55744
120880047.00807	40.0	6.32456
120880048.00807	44.0	6.63325
120880049.00807	32.0	5.65685
120880050.00807	40.0	6.32456
120880051.00807	40.0	6.32456
120880052.00807	26.0	5.09902
120880053.00807	39.0	6.245
120880054.00807	34.0	5.83095
120880055.00807	37.0	6.08276
120880056.00807	54.0	7.34847
120880057.00807	31.0	5.56776
120880058.00807	28.0	5.2915
120880059.00807	23.0	4.79583
120880060.00807	40.0	6.32456
120880061.00807	29.0	5.38516
120880062.00807	27.0	5.19615
120880063.00807	42.0	6.48074
120880064.00807	23.0	4.79583
120880065.00807	48.0	6.9282
120880066.00807	35.0	5.91608
120880067.00807	31.0	5.56776
120880068.00807	35.0	5.91608
120880069.00807	43.0	6.55744
120880070.00807	28.0	5.2915
120880071.00807	31.0	5.56776
120880072.00807	40.0	6.32456
120880073.00807	32.0	5.65685
120880074.00807	36.0	6.0
120880075.00807	38.0	6.16441
120880076.00807	28.0	5.2915
120880077.00807	39.0	6.245
120880078.00807	27.0	5.19615
120880079.00807	39.0	6.245
120880080.00807	37.0	6.08276
120880081.00807	17.0	4.12311
120880082.00807	31.0	5.56776
120880083.00807	27.0	5.19615
120880084.00807	26.0	5.09902
120880085.00807	38.0	6.16441
120880086.00807	26.0	5.09902
120880087.00807	34.0	5.83095
120880088.00807	41.0	6.40312
120880089.00807	41.0	6.40312
120880090.00807	35.0	5.91608
120880091.00807	41.0	6.40312
120880092.00807	32.0	5.65685
120880093.00807	34.0	5.83095
120880094.00807	35.0	5.91608
120880095.00807	31.0	5.56776
120880096.00807	34.0	5.83095
120880097.00807	41.0	6.40312
120880098.00807	45.0	6.7082
120880099.00807	32.0	5.65685
120880100.00807	24.0	4.89898
120880101.00807	42.0	6.48074
120880102.00807	29.0	5.38516
120880103.00807	46.0	6.78233
120880104.00807	35.0	5.91608
120880105.00807	38.0	6.16441
120880106.00807	26.0	5.09902
120880107.00807	37.0	6.08276
120880108.00807	39.0	6.245
120880109.00807	49.0	7.0
120880110.00807	43.0	6.55744
120880111.00807	29.0	5.38516
120880112.00807	42.0	6.48074
120880113.00807	40.0	6.32456
120880114.00807	32.0	5.65685
120880115.00807	45.0	6.7082
120880116.00807	38.0	6.16441
120880117.00807	32.0	5.65685
120880118.00807	28.0	5.2915
120880119.00807	33.0	5.74456
120880120.00807	35.0	5.91608
120880121.00807	31.0	5.56776
120880122.00807	26.0	5.09902
120880123.00807	31.0	5.56776
120880124.00807	53.0	7.28011
120880125.00807	31.0	5.56776
120880126.00807	44.0	6.63325
120880127.00807	23.0	4.79583
120880128.00807	45.0	6.7082
120880129.00807	41.0	6.40312
120880130.00807	39.0	6.245
120880131.00807	26.0	5.09902
120880132.00807	31.0	5.56776
120880133.00807	41.0	6.40312
120880134.00807	32.0	5.65685
120880135.00807	31.0	5.56776
120880136.00807	42.0	6.48074
120880137.00807	41.0	6.40312
120880138.00807	40.0	6.32456
120880139.00807	29.0	5.38516
120880140.00807	42.0	6.48074
120880141.00807	44.0	6.63325
120880142.00807	34.0	5.83095
120880143.00807	26.0	5.09902
120880144.00807	32.0	5.65685
120880145.00807	25.0	5.0
120880146.00807	32.0	5.65685
120880147.00807	31.0	5.56776
120880148.00807	36.0	6.0
