Time	Count	Error
153289424.02773	220.0	14.8324
153289425.02773	182.0	13.49074
153289426.02773	67.0	8.18535
153289427.02773	68.0	8.24621
153289428.02773	79.0	8.88819
153289429.02773	137.0	11.7047
153289430.02773	213.0	14.59452
153289431.02773	83.0	9.11043
153289432.02773	141.0	11.87434
153289433.02773	182.0	13.49074
153289434.02773	127.0	11.26943
153289435.02773	85.0	9.21954
153289436.02773	240.0	15.49193
153289437.02773	165.0	12.84523
153289438.02773	174.0	13.19091
153289439.02773	481.0	21.93171
153289440.02773	111.0	10.53565
153289441.02773	176.0	13.2665
153289442.02773	119.0	10.90871
153289443.02773	250.0	15.81139
153289444.02773	87.0	9.32738
153289445.02773	124.0	11.13553
153289446.02773	229.0	15.13275
153289447.02773	525.0	22.91288
153289448.02773	197.0	14.03567
153289449.02773	123.0	11.09054
153289450.02773	111.0	10.53565
153289451.02773	86.0	9.27362
153289452.02773	207.0	14.38749
153289453.02773	250.0	15.81139
153289454.02773	267.0	16.34013
153289455.02773	145.0	12.04159
153289456.02773	78.0	8.83176
153289457.02773	127.0	11.26943
153289458.02773	97.0	9.84886
153289459.02773	192.0	13.85641
153289460.02773	180.0	13.41641
153289461.02773	71.0	8.42615
153289462.02773	90.0	9.48683
153289463.02773	73.0	8.544
153289464.02773	109.0	10.44031
153289465.02773	79.0	8.88819
153289466.02773	154.0	12.40967
153289467.02773	392.0	19.79899
153289468.02773	236.0	15.36229
153289469.02773	324.0	18.0
153289470.02773	456.0	21.35416
153289471.02773	146.0	12.08305
153289472.02773	197.0	14.03567
153289473.02773	154.0	12.40967
153289474.02773	128.0	11.31371
153289475.02773	347.0	18.62794
153289476.02773	99.0	9.94987
153289477.02773	114.0	10.67708
153289478.02773	87.0	9.32738
153289479.02773	91.0	9.53939
153289480.02773	214.0	14.62874
153289481.02773	184.0	13.56466
153289482.02773	149.0	12.20656
153289483.02773	102.0	10.0995
153289484.02773	95.0	9.74679
153289485.02773	131.0	11.44552
153289486.02773	72.0	8.48528
153289487.02773	184.0	13.56466
153289488.02773	275.0	16.58312
153289489.02773	158.0	12.56981
153289490.02773	127.0	11.26943
153289491.02773	105.0	10.24695
153289492.02773	90.0	9.48683
153289493.02773	90.0	9.48683
153289494.02773	610.0	24.69818
153289495.02773	125.0	11.18034
153289496.02773	256.0	16.0
153289497.02773	323.0	17.9722
153289498.02773	118.0	10.86278
153289499.02773	172.0	13.11488
153289500.02773	142.0	11.91638
153289501.02773	178.0	13.34166
153289502.02773	85.0	9.21954
153289503.02773	177.0	13.30413
153289504.02773	426.0	20.63977
153289505.02773	184.0	13.56466
153289506.02773	91.0	9.53939
153289507.02773	85.0	9.21954
153289508.02773	157.0	12.52996
153289509.02773	83.0	9.11043
153289510.02773	202.0	14.21267
153289511.02773	71.0	8.42615
153289512.02773	204.0	14.28286
153289513.02773	151.0	12.28821
153289514.02773	358.0	18.92089
153289515.02773	154.0	12.40967
153289516.02773	85.0	9.21954
153289517.02773	252.0	15.87451
153289518.02773	248.0	15.74802
153289519.02773	118.0	10.86278
153289520.02773	169.0	13.0
153289521.02773	123.0	11.09054
153289522.02773	142.0	11.91638
153289523.02773	305.0	17.46425
153289524.02773	143.0	11.95826
153289525.02773	173.0	13.15295
153289526.02773	288.0	16.97056
153289527.02773	176.0	13.2665
153289528.02773	76.0	8.7178
153289529.02773	92.0	9.59166
153289530.02773	85.0	9.21954
153289531.02773	78.0	8.83176
153289532.02773	77.0	8.77496
153289533.02773	345.0	18.57418
153289534.02773	360.0	18.97367
153289535.02773	76.0	8.7178
153289536.02773	138.0	11.74734
153289537.02773	145.0	12.04159
153289538.02773	87.0	9.32738
153289539.02773	106.0	10.29563
153289540.02773	239.0	15.45962
153289541.02773	162.0	12.72792
153289542.02773	241.0	15.52417
153289543.02773	130.0	11.40175
153289544.02773	126.0	11.22497
153289545.02773	182.0	13.49074
153289546.02773	149.0	12.20656
153289547.02773	96.0	9.79796
153289548.02773	175.0	13.22876
153289549.02773	75.0	8.66025
153289550.02773	91.0	9.53939
153289551.02773	91.0	9.53939
153289552.02773	101.0	10.04988
153289553.02773	129.0	11.35782
153289554.02773	89.0	9.43398
153289555.02773	91.0	9.53939
153289556.02773	112.0	10.58301
153289557.02773	93.0	9.64365
153289558.02773	137.0	11.7047
153289559.02773	248.0	15.74802
153289560.02773	199.0	14.10674
153289561.02773	98.0	9.89949
153289562.02773	274.0	16.55295
153289563.02773	99.0	9.94987
153289564.02773	82.0	9.05539
153289565.02773	331.0	18.19341
153289566.02773	179.0	13.37909
153289567.02773	78.0	8.83176
153289568.02773	76.0	8.7178
153289569.02773	247.0	15.71623
153289570.02773	218.0	14.76482
153289571.02773	198.0	14.07125
153289572.02773	134.0	11.57584
153289573.02773	514.0	22.67157
153289574.02773	136.0	11.6619
153289575.02773	510.0	22.58318
153289576.02773	220.0	14.8324
153289577.02773	344.0	18.54724
153289578.02773	92.0	9.59166
