Time	Count	Error
198595958.21977	2.23612	0.47674
198595968.22056	2.33776	0.48746
198595978.22135	2.03283	0.45456
198595988.22213	1.11806	0.33711
198595998.22292	3.04925	0.55671
198596008.2237	2.33776	0.48746
198596018.22449	2.4394	0.49794
198596028.22528	2.94761	0.54736
198596038.22606	2.4394	0.49794
198596048.22685	2.54104	0.50821
198596058.22763	3.15089	0.56592
198596068.22842	2.23612	0.47674
198596078.2292	2.84596	0.53784
198596088.22999	3.35417	0.58389
198596098.23078	2.03283	0.45456
198596108.23156	2.23612	0.47674
198596118.23235	2.94761	0.54736
198596128.23314	2.33776	0.48746
198596138.23392	1.52462	0.39366
198596148.23471	1.42298	0.38031
198596158.23549	1.52462	0.39366
198596168.23628	2.33776	0.48746
198596178.23707	1.72791	0.41908
198596188.23785	2.13447	0.46578
198596198.23864	3.15089	0.56592
198596208.23942	1.93119	0.44305
198596218.24021	1.2197	0.3521
198596228.241	2.23612	0.47674
198596238.24178	2.64268	0.51827
198596248.24257	2.13447	0.46578
198596258.24335	3.15089	0.56592
198596268.24414	1.93119	0.44305
198596278.24493	2.13447	0.46578
198596288.24571	2.4394	0.49794
198596298.2465	1.62627	0.40657
198596308.24728	2.23612	0.47674
198596318.24807	2.03283	0.45456
198596328.24886	2.94761	0.54736
198596338.24964	2.13447	0.46578
198596348.25043	2.64268	0.51827
198596358.25122	2.33776	0.48746
198596368.252	2.84596	0.53784
198596378.25279	2.54104	0.50821
198596388.25357	2.74432	0.52815
198596398.25436	2.54104	0.50821
198596408.25515	1.82955	0.43123
198596418.25593	2.13447	0.46578
198596428.25672	2.84596	0.53784
198596438.25751	3.15089	0.56592
198596448.25829	1.72791	0.41908
198596458.25908	2.64268	0.51827
198596468.25986	2.13447	0.46578
198596478.26065	2.13447	0.46578
198596488.26144	1.93119	0.44305
198596498.26222	2.4394	0.49794
198596508.26301	1.82955	0.43123
198596518.2638	2.64268	0.51827
198596528.26458	1.93119	0.44305
198596538.26537	2.94761	0.54736
198596548.26616	2.33776	0.48746
198596558.26694	2.4394	0.49794
198596568.26773	2.03283	0.45456
198596578.26851	2.94761	0.54736
198596588.2693	2.54104	0.50821
198596598.27009	2.54104	0.50821
198596608.27087	2.03283	0.45456
198596618.27166	2.03283	0.45456
198596628.27245	2.23612	0.47674
198596638.27323	2.13447	0.46578
198596648.27402	2.4394	0.49794
198596658.27481	2.03283	0.45456
198596668.27559	2.64268	0.51827
198596678.27638	2.64268	0.51827
198596688.27717	2.03283	0.45456
198596698.27795	2.13447	0.46578
198596708.27874	2.4394	0.49794
198596718.27952	2.84596	0.53784
198596728.28031	1.52462	0.39366
198596738.2811	2.23612	0.47674
198596748.28188	1.52462	0.39366
198596758.28267	1.2197	0.3521
198596768.28346	1.82955	0.43123
198596778.28424	2.23612	0.47674
198596788.28503	2.84596	0.53784
198596798.28582	2.03283	0.45456
198596808.2866	2.4394	0.49794
198596818.28739	1.52462	0.39366
198596828.28818	2.13447	0.46578
198596838.28896	2.23612	0.47674
198596848.28975	1.93119	0.44305
198596858.29054	1.01642	0.32142
198596868.29132	2.64268	0.51827
198596878.29211	1.72791	0.41908
198596888.2929	2.03283	0.45456
198596898.29368	2.33776	0.48746
198596908.29447	1.93119	0.44305
198596918.29526	1.72791	0.41908
198596928.29604	1.62627	0.40657
198596938.29683	2.23612	0.47674
198596948.29762	2.33776	0.48746
198596958.2984	1.93119	0.44305
198596968.29919	1.82955	0.43123
198596978.29998	2.64268	0.51827
198596988.30076	2.74432	0.52815
198596998.30155	2.74432	0.52815
198597008.30234	2.54104	0.50821
198597018.30312	2.13447	0.46578
198597028.30391	1.93119	0.44305
198597038.3047	1.42298	0.38031
198597048.30548	2.13447	0.46578
198597058.30627	2.33776	0.48746
198597068.30706	2.13447	0.46578
198597078.30784	1.72791	0.41908
198597088.30863	1.82955	0.43123
198597098.30942	2.4394	0.49794
198597108.3102	2.64268	0.51827
198597118.31099	1.93119	0.44305
198597128.31178	2.74432	0.52815
198597138.31256	1.93119	0.44305
198597148.31335	2.33776	0.48746
198597158.31414	2.4394	0.49794
198597168.31492	2.03283	0.45456
198597178.31571	2.23612	0.47674
198597188.3165	1.82955	0.43123
198597198.31728	1.82955	0.43123
198597208.31807	2.94761	0.54736
198597218.31886	3.86238	0.62656
198597228.31964	1.32134	0.36647
198597238.32043	2.03283	0.45456
198597248.32122	2.03283	0.45456
198597258.32201	1.82955	0.43123
198597268.32279	2.84596	0.53784
198597278.32358	2.4394	0.49794
198597288.32437	2.64268	0.51827
198597298.32515	2.94761	0.54736
198597308.32594	2.23612	0.47674
198597318.32673	2.33776	0.48746
198597328.32751	2.74432	0.52815
198597338.3283	1.52462	0.39366
198597348.32909	2.64268	0.51827
198597358.32987	2.33776	0.48746
198597368.33066	2.4394	0.49794
198597378.33145	2.23612	0.47674
198597388.33224	2.94761	0.54736
198597398.33302	3.25253	0.57497
198597408.33381	2.74432	0.52815
198597418.3346	2.74432	0.52815
198597428.33538	3.04925	0.55671
198597438.33617	3.15089	0.56592
198597448.33696	2.94761	0.54736
198597458.33774	2.13447	0.46578
198597468.33853	3.04925	0.55671
198597478.33932	2.23612	0.47674
198597488.34011	2.03283	0.45456
198597498.34089	2.64268	0.51827
198597508.34168	2.23612	0.47674
198597518.34247	3.35417	0.58389
198597528.34325	2.64268	0.51827
198597538.34404	2.03283	0.45456
198597548.34483	3.35417	0.58389
198597558.34561	3.04925	0.55671
198597568.3464	3.35417	0.58389
198597578.34719	3.04925	0.55671
198597588.34798	2.74432	0.52815
198597598.34876	2.03283	0.45456
198597608.34955	2.64268	0.51827
198597618.35034	2.74432	0.52815
198597628.35112	2.64268	0.51827
198597638.35191	2.94761	0.54736
198597648.3527	3.04925	0.55671
198597658.35349	3.25253	0.57497
198597668.35427	3.15089	0.56592
198597678.35506	3.35417	0.58389
198597688.35585	2.13447	0.46578
198597698.35663	2.84596	0.53784
198597708.35742	4.16731	0.65082
198597718.35821	3.45581	0.59267
198597728.359	2.84596	0.53784
198597738.35978	3.25253	0.57497
198597748.36057	3.6591	0.60985
198597758.36136	2.4394	0.49794
198597768.36214	3.15089	0.56592
198597778.36293	3.04925	0.55671
198597788.36372	3.25253	0.57497
198597798.36451	2.23612	0.47674
198597808.36529	2.84596	0.53784
198597818.36608	2.84596	0.53784
198597828.36687	2.94761	0.54736
198597838.36766	2.94761	0.54736
198597848.36844	2.03283	0.45456
198597858.36923	2.54104	0.50821
198597868.37002	3.35417	0.58389
198597878.3708	2.94761	0.54736
198597888.37159	2.03283	0.45456
198597898.37238	3.86238	0.62656
198597908.37317	2.54104	0.50821
198597918.37395	2.13447	0.46578
198597928.37474	3.6591	0.60985
198597938.37553	3.04925	0.55671
198597948.37632	2.13447	0.46578
198597958.3771	1.82955	0.43123
198597968.37789	2.03283	0.45456
198597978.37868	2.33776	0.48746
198597988.37947	2.94761	0.54736
198597998.38025	2.94761	0.54736
198598008.38104	2.33776	0.48746
198598018.38183	3.45581	0.59267
198598028.38262	2.84596	0.53784
198598038.3834	3.35417	0.58389
198598048.38419	2.94761	0.54736
198598058.38498	2.23612	0.47674
198598068.38576	2.84596	0.53784
198598078.38655	2.54104	0.50821
198598088.38734	1.93119	0.44305
198598098.38813	2.54104	0.50821
198598108.38891	2.13447	0.46578
198598118.3897	2.4394	0.49794
198598128.39049	2.74432	0.52815
198598138.39128	2.03283	0.45456
